village,wave,treat,treat_event,treat_cum,district,province,region,dist,elevation,pop,lang,ethnicity,stab,SIKA,Project,idname,stab_std,vil_wave,measured,treated,cohort,first.treat
AG1-007,1,0,0,0,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.18333333333333,3,3,96,-0.5938478057651576,AG1-007 1,1 2 3 4 5,0 0 0 0 1,Wave 5 treated,5
AG1-007,2,0,0,0,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.95833333333333,3,3,96,1.0417488205590177,AG1-007 2,1 2 3 4 5,0 0 0 0 1,Wave 5 treated,5
AG1-007,3,0,0,0,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.37916666666667,3,3,96,-0.1805518840595724,AG1-007 3,1 2 3 4 5,0 0 0 0 1,Wave 5 treated,5
AG1-007,4,0,0,0,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.04375,3,3,96,-0.8884310691084829,AG1-007 4,1 2 3 4 5,0 0 0 0 1,Wave 5 treated,5
AG1-007,5,1,1,1,Arghandab (1),Kandahar,RC-South,4886.665344,1025.182007,1203,Pashto,Pashtun,3.68333333333333,3,3,96,0.4613758241214072,AG1-007 5,1 2 3 4 5,0 0 0 0 1,Wave 5 treated,5
AG1-008,1,0,0,0,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,3.50666666666667,3,3,97,0.08853014156150152,AG1-008 1,1 2 3 4 5,0 0 0 1 1,Wave 4 treated,4
AG1-008,2,0,0,0,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,3.61111111111111,3,3,97,0.3089546331377966,AG1-008 2,1 2 3 4 5,0 0 0 1 1,Wave 4 treated,4
AG1-008,3,0,0,0,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,4.22307692307692,3,3,97,1.6004762040758782,AG1-008 3,1 2 3 4 5,0 0 0 1 1,Wave 4 treated,4
AG1-008,4,1,1,1,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,3.42444444444444,3,3,97,-0.08499552201986058,AG1-008 4,1 2 3 4 5,0 0 0 1 1,Wave 4 treated,4
AG1-008,5,1,1,2,Arghandab (1),Kandahar,RC-South,5001.690757,1018.794983,314,Pashto,Pashtun,3.20714285714286,3,3,97,-0.5435990614848321,AG1-008 5,1 2 3 4 5,0 0 0 1 1,Wave 4 treated,4
AG1-020,1,0,0,0,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.5375,3,3,105,0.15360226540449964,AG1-020 1,1 2 3 4 5,0 0 0 1 0,Wave 4 treated,4
AG1-020,2,0,0,0,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.63333333333333,3,3,105,0.35585346113275107,AG1-020 2,1 2 3 4 5,0 0 0 1 0,Wave 4 treated,4
AG1-020,3,0,0,0,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.27435897435898,3,3,105,-0.40174299109348194,AG1-020 3,1 2 3 4 5,0 0 0 1 0,Wave 4 treated,4
AG1-020,4,1,1,1,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.475,3,3,105,0.021699311668679045,AG1-020 4,1 2 3 4 5,0 0 0 1 0,Wave 4 treated,4
AG1-020,5,0,1,1,Arghandab (1),Kandahar,RC-South,4714.323562,1017.817993,280,Pashto,Pashtun,3.2875,3,3,105,-0.37400954953878274,AG1-020 5,1 2 3 4 5,0 0 0 1 0,Wave 4 treated,4
AG1-031,1,0,0,0,Arghandab (1),Kandahar,RC-South,6487.119626,1018.710022,878,Pashto,Pashtun,3.84285714285714,3,3,113,0.7980424107995023,AG1-031 1,1 2 3 4 5,0 0 0 0 0,Never treated,0
AG1-031,2,0,0,0,Arghandab (1),Kandahar,RC-South,6487.119626,1018.710022,878,Pashto,Pashtun,3.18181818181818,3,3,113,-0.5970454531284474,AG1-031 2,1 2 3 4 5,0 0 0 0 0,Never treated,0
