0	0.2085
333	0.2152
666	0.1563
999	0.1623
1332	0.1596
1665	0.1277
1998	0.1166
2331	0.1225
2664	0.1125
2997	0.1069
3330	0.119
3663	0.0913
3996	0.0917
4329	0.0932
4662	0.0849
4995	0.0949
5328	0.0835
5661	0.0833
5994	0.0715
6327	0.0878
6660	0.0727
6993	0.0606
7326	0.0692
7659	0.0841
7992	0.0535
8325	0.064
8658	0.0864
8991	0.0716
9324	0.0681
9657	0.0587
9990	0.0895
10323	0.0606
10656	0.0815
10989	0.0634
11322	0.0594
11655	0.073
11988	0.0514
12321	0.0562
12654	0.0687
12987	0.0551
13320	0.0668
13653	0.0397
13986	0.0451
14319	0.0501
14652	0.0288
14985	0.0351
15318	0.0685
15651	0.0414
15984	0.0415
16317	0.0347
16650	0.0573
16983	0.0488
17316	0.0384
17649	0.0538
17982	0.054
18315	0.0435
18648	0.0345
18981	0.0475
19314	0.0301
