"3 months"	0.1931	0.1521	0.1002	0.0912	0.1481	0.0993	0.0911
"6 months"	0.2012	0.1632	0.1212	0.1021	0.1629	0.1208	0.102
"9 months"	0.2106	0.182	0.1384	0.1207	0.1817	0.1382	0.1207
"12 months"	0.2285	0.1915	0.1517	0.1455	0.1913	0.1517	0.1455
