"Afghanistan"	0.1412	0.1003	0.0894
"Chad"	0.1339	0.0945	0.0921
"Ethiopia"	0.154	0.0987	0.0846
"Guatemala"	0.1365	0.0948	0.0756
"Haiti"	0.143	0.092	0.0925
"Kenya"	0.1564	0.1051	0.0987
"Malawi"	0.136	0.0955	0.108
"Mali"	0.1583	0.0891	0.0817
"Niger"	0.1469	0.104	0.0816
"Nigeria"	0.1523	0.0911	0.1023
"Somalia"	0.1467	0.0903	0.085
"South Sudan"	0.1558	0.1103	0.0872
"Sudan"	0.1549	0.0916	0.0891
"Yemen"	0.1382	0.097	0.0913
"Zimbabwe"	0.1376	0.0929	0.0805
"Average"	0.1521	0.1002	0.0912
