Item,Percent,lower,upper,vars,n,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
Community has emergency action plan,0.5399673735725938,0.5004799828714112,0.5794547642737765,1,613,0.49880707258999746,1,0.5498981670061099,0,0,1,1,-0.1599904096579158,-1.977621225297747,0.02014662790876665
Plan addresses at least one shock that affects community,0.8939393939393939,0.8606666044235514,0.9272121834552365,2,330,0.3083827743656695,1,0.9924242424242424,0,0,1,1,-2.547130844179251,4.501544100480927,0.016975913018287023
Plan is effective,0.1870748299319728,0.14242135863295785,0.23172830123098775,3,294,0.3906364997378578,0,0.11016949152542373,0,0,1,1,1.596680284359213,0.5512977613243546,0.022782383315823957
