county,se,hhs_severe,n,lower,upper
Pibor,0.048907283307835524,0.39603960396039606,103,0.30018132867703845,0.49189787924375367
Akobo,0.0370828466241654,0.16666666666666666,102,0.09398428728330246,0.23934904605003085
Jur River,0.016976661583645792,0.0297029702970297,102,-0.0035712864069160494,0.06297722700097545
Wau,0.014211916019907801,0.020202020202020204,102,-0.007653335196999084,0.048057375601039495
Budi,0.009900990099009901,0.009900990099009901,102,-0.009504950495049505,0.029306930693069305
Kapoeta North,0,0,102,0,0
