County,se,shocks_sev,n,lower,upper
Akobo,0.4006268380115372,13.843137254901961,102,13.057908652399348,14.628365857404575
Pibor,0.4776338400827436,13.669902912621358,103,12.73374058605918,14.606065239183536
Jur River,0.31345388407941466,9.911764705882353,102,9.2973950930867,10.526134318678006
Wau,0.24132408006752123,7.019607843137255,102,6.546612646204913,7.492603040069596
Kapoeta North,0.19218865501126628,6.401960784313726,102,6.025271020491644,6.778650548135808
Budi,0.2530076860061591,5.480392156862745,102,4.984497092290673,5.976287221434817
