county,se,hhs,n,lower,upper
Pibor,0.12468173383256648,3.900990099009901,103,3.6566139006980705,4.145366297321731
Akobo,0.07604729302102073,3.303921568627451,102,3.15486887430625,3.4529742629486515
Kapoeta North,0.07532564990736726,2.742574257425743,102,2.594935983607303,2.8902125312441824
Jur River,0.10506252193966187,2.3069306930693068,102,2.1010081500675697,2.512853236071044
Budi,0.09350016132933098,2.237623762376238,102,2.054363446170749,2.4208840785817265
Wau,0.10119545969573875,1.8080808080808082,102,1.6097377070771604,2.006423909084456
