County,emerg_plan,emerg_targeted,emerg_effective_bin
Akobo,0.6372549019607843,1,0.03125
Budi,0.4117647058823529,0.9047619047619048,0.02631578947368421
Jur River,0.5784313725490197,0.711864406779661,0.23809523809523808
Kapoeta North,0.3235294117647059,0.9696969696969697,0.125
Pibor,0.6699029126213593,1,0.39705882352941174
Wau,0.6176470588235294,0.7936507936507936,0.22
