Percent,lower,upper,Item,vars,n,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
0.6084828711256117,0.5698123590963913,0.6471533831548322,resource_govern,1,613,0.48848821252385377,1,0.6354378818737271,0,0,1,1,-0.44343301608058006,-1.8063058462910988,0.019729853076132897
0.3915171288743883,0.3528466168451678,0.4301876409036087,govern_plants,2,613,0.48848821252385377,0,0.3645621181262729,0,0,1,1,0.44343301608058006,-1.8063058462910988,0.019729853076132897
0.42088091353996737,0.38176586123951384,0.4599959658404209,govern_land,3,613,0.49410367172246517,0,0.40122199592668023,0,0,1,1,0.319730543706055,-1.9008653223569207,0.01995665933696608
0.4355628058727569,0.39627899913126907,0.47484661261424477,govern_water,4,613,0.4962353878785388,0,0.4195519348268839,0,0,1,1,0.2592804863451887,-1.9359237639210258,0.02004275854157544
0.265905383360522,0.23090120042409354,0.3009095662969505,govern_fish,5,613,0.4421749249286734,0,0.20773930753564154,0,0,1,1,1.0571053215031556,-0.8839623866947233,0.01785927700838187
0.19249592169657423,0.1612593409280694,0.22373250246507906,govern_minerals,6,613,0.39458234981305723,0,0.11608961303462322,0,0,1,1,1.556088053479744,0.42210660098807207,0.0159370310043392
0.39804241435562804,0.3592606125994509,0.43682421611180516,govern_forests,7,613,0.4898940309870858,0,0.3727087576374745,0,0,1,1,0.41556440216651036,-1.830284029816616,0.019786633549069954
0.32463295269168024,0.287535286034165,0.3617306193491955,govern_livestock,8,613,0.46861993605468955,0,0.28105906313645623,0,0,1,1,0.7472194579274793,-1.4440107479997812,0.01892738094771187
0.024469820554649267,0.012228842839795053,0.03671079826950348,govern_other,9,613,0.15462875999560433,0,0,0,0,1,1,6.140570963834802,35.76496389108191,0.006245396793292966
0.3915171288743883,0.3528466168451678,0.4301876409036087,resource_conf_bin,10,613,0.48848821252385377,0,0.3645621181262729,0,0,1,1,0.44343301608058006,-1.8063058462910988,0.019729853076132897
