Percent,lower,upper,Item,vars,n,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
0.43882544861337686,0.3995089126219521,0.4781419846048016,conflict,1,613,0.49664882571424246,0,0.42362525458248473,0,0,1,1,0.2459474496724881,-1.942670993419694,0.020059457138482013
0.10277324632952692,0.07871458242134784,0.126831910237706,conflict_land,2,613,0.3039104762651745,0,0.004073319755600814,0,0,1,1,2.609839279329879,4.819130593944269,0.012274828524581165
0.18107667210440456,0.15056730253195108,0.21158604167685804,conflict_water,3,613,0.3853961746463556,0,0.10183299389002037,0,0,1,1,1.6523415768071887,0.731433869434797,0.015566004883904834
0.05872756933115824,0.040099877577409404,0.07735526108490708,conflict_pasture,4,613,0.23530611235140464,0,0,0,0,1,1,3.7445059894121644,12.04097578514822,0.009503924364157567
0.07504078303425775,0.054167520713752575,0.09591404535476292,conflict_forestry,5,613,0.26367229357554023,0,0,0,0,1,1,3.2181308559979334,8.37002839179858,0.010649623632910804
0.20880913539967375,0.1766061793068772,0.2410120914924703,conflict_cattle,6,613,0.40678966050068716,0,0.1364562118126273,0,0,1,1,1.4293177381265996,0.04302736727403289,0.016430079639181916
0.11419249592169657,0.08899433642451923,0.1393906554188739,conflict_goat,7,613,0.3183046524536865,0,0.018329938900203666,0,0,1,1,2.420185348111544,3.863607884609406,0.012856203825090479
0.03588907014681892,0.021151531172698405,0.050626609120939435,conflict_migration,8,613,0.18616547060532623,0,0,0,0,1,1,4.977870646672546,22.816425076111848,0.0075191525378165884
0.0701468189233279,0.04991236253000021,0.09038127531665559,conflict_borders,9,613,0.25560285903376895,0,0,0,0,1,1,3.3579589369114893,9.291052894410026,0.01032370224149372
0.15497553017944535,0.12630428409490818,0.18364677626398251,conflict_revenge,10,613,0.3621768892039525,0,0.06924643584521385,0,0,1,1,1.9021734091690208,1.6209158925716745,0.014628186777825082
0.0734094616639478,0.052746131714602705,0.09407279161329288,conflict_dowry,11,613,0.2610204153521178,0,0,0,0,1,1,3.263305144158618,8.663301071354182,0.010542515280278107
0.08809135399673736,0.06563585709909155,0.11054685089438317,conflict_elope,12,613,0.2836591750473148,0,0,0,0,1,1,2.8995127025792633,6.417651143162491,0.011456886172268269
0.28548123980424145,0.24969830432477597,0.32126417528370693,conflict_cattleraid,13,613,0.45201217346210654,0,0.23217922606924643,0,0,1,1,0.9476240850662541,-1.1038012687136207,0.018256599734421168
0.05057096247960848,0.03321046264488524,0.06793146231433173,conflict_fishing,14,613,0.2192988685119193,0,0,0,0,1,1,4.092094750618007,14.76934096887031,0.008857397874858796
0.25122349102773245,0.21686084575040687,0.285586136305058,conflict_gbv,15,613,0.43407098298642277,0,0.1894093686354379,0,0,1,1,1.14437815137032,-0.6915187567050802,0.01753196187618652
0.03262642740619902,0.018550979289317378,0.04670187552308066,conflict_livelihood,16,613,0.17780189943935318,0,0,0,0,1,1,5.24866311966558,25.59021839316023,0.007181351080041654
0.08156606851549755,0.05988108554843433,0.10325105148256078,conflict_ag,17,613,0.27392599715738647,0,0,0,0,1,1,3.0501035725352246,7.315073017417779,0.011063766819930215
0.048939641109298535,0.03184677894559432,0.06603250327300275,conflict_other,18,613,0.21591805350172913,0,0,0,0,1,1,4.1712541140922905,15.424531231043023,0.008720848042706236
0.19412724306688417,0.16279028467769577,0.22546420145607257,conflict_sev_bin,19,613,0.3958503258995406,0,0.11812627291242363,0,0,1,1,1.542874971615577,0.38109284222230855,0.015988244076116535
0.5876288659793815,0.48915609837203317,0.6861016335867298,satis_elders_bin,20,97,0.4948185130173913,1,0.6075949367088608,0,0,1,1,-0.3505344821462324,-1.8963579103993375,0.050241207962932806
