county,se,traffic_accept,n,lower,upper
Akobo,0.04617034827006717,0.3137254901960784,102,0.22323160758674676,0.4042193728054101
Pibor,0.016650348072088237,0.02912621359223301,103,0,0.06176089581352595
Budi,0.013796030288829251,0.0196078431372549,102,0,0.04664806250336023
Jur River,0.00980392156862745,0.00980392156862745,102,0,0.029019607843137254
Kapoeta North,0,0,102,0,0
Wau,0,0,102,0,0
