County,se,bp_accept,n,lower,upper
Budi,0.023412639769646804,0.9411764705882353,102,0.8952876966397275,0.987065244536743
Pibor,0.03586594738573977,0.8446601941747572,103,0.7743629372987073,0.9149574510508072
Kapoeta North,0.03873958714149351,0.8137254901960784,102,0.7377958993987511,0.8896550809934057
Akobo,0.04690650298201946,0.6666666666666666,102,0.5747299208219085,0.7586034125114247
Wau,0.049598599663841836,0.46078431372549017,102,0.36357105838436016,0.5579975690666201
Jur River,0.047840607041056527,0.3627450980392157,102,0.2689775082387449,0.45651268783968646
