Attitude,Percent,lower,upper,vars,n,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
Bride price an important tradition,0.9216965742251223,0.9004120116959304,0.9429811367543142,3,613,0.2688678623231227,1,1,0,0,1,1,-3.131714203059631,7.820399413620166,0.010859470678159096
Willing to accept a bride price for daughter in household,0.6818923327895595,0.6449924206287995,0.7187922449503196,1,613,0.4661218894664899,1,0.7270875763747454,0,0,1,1,-0.779176485995256,-1.3951519656014482,0.018826485796306133
Bride price an acceptable transaction,0.5383360522022839,0.49883850984833344,0.5778335945562343,2,613,0.4989353088727485,1,0.5478615071283096,0,0,1,1,-0.15342074653944557,-1.979683595399955,0.0201518073234441
