County,se,gbv_accept,n,lower,upper
Wau,0.04389869956808776,0.7352941176470589,102,0.6492526664936069,0.8213355688005108
Akobo,0.047840607041056527,0.6372549019607843,102,0.5434873121603134,0.7310224917612551
Kapoeta North,0.04897104952726362,0.4117647058823529,102,0.31578144880891623,0.5077479629557896
Pibor,0.048657775704107696,0.4077669902912621,103,0.31239774991121105,0.5031362306713132
Budi,0.04617034827006717,0.3137254901960784,102,0.22323160758674676,0.4042193728054101
Jur River,0.03873958714149351,0.18627450980392157,102,0.1103449190065943,0.2622041006012489
