TIP_agree,Percent,lower,upper,vars,n,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
To Get Cattle,0.11419249592169657,0.08899433642451923,0.1393906554188739,2,613,0.3183046524536865,0,0.018329938900203666,0,0,1,1,2.420185348111544,3.863607884609406,0.012856203825090479
To Obtain A Wife,0.08156606851549755,0.05988108554843433,0.10325105148256078,1,613,0.27392599715738647,0,0,0,0,1,1,3.0501035725352246,7.315073017417779,0.011063766819930215
To Get Land,0.048939641109298535,0.03184677894559432,0.06603250327300275,3,613,0.21591805350172913,0,0,0,0,1,1,4.1712541140922905,15.424531231043023,0.008720848042706236
