County,se,asp_resc,n,lower,upper
Budi,1.0749104182517337,62.31926684209002,102,60.21244242231663,64.42609126186342
Wau,1.87791667092494,58.03514268600991,102,54.35442601099703,61.715859361022794
Kapoeta North,1.4345446726912596,57.26721739801484,102,54.45550983953997,60.078924956489715
Jur River,1.6282241267769528,55.969804609231566,102,52.778485320748736,59.1611238977144
Akobo,1.4482446564363347,41.79991797688915,102,38.961358450273934,44.63847750350436
Pibor,2.5076804222915676,36.62141651288833,103,31.70636288519686,41.5364701405798
